Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
142782,101178,126578,89150,269360,190328
687389,519364,698844,526475,1386233,1045839
725767,520598,699594,501586,1425361,1022184
777458,552489,773376,573202,1550834,1125691
724504,469712,771689,564212,1496193,1033924
717811,546746,727435,548060,1445246,1094806
775903,606863,760812,584233,1536715,1191096
1723413,878093,1459912,742304,3183325,1620397
1012378,545749,881269,458020,1893647,1003769
961290,526510,862374,444911,1823664,971421
