Male Electors,Male Voters,Female Electors,Female Voters,Total Electors,Total Voters
142782,101178,126578,89150,269360,190328
687389,519364,698844,526475,1386233,1045839
725767,520598,699594,501586,1425361,1022184
777458,552489,773376,573202,1550834,1125691
724504,469712,771689,564212,1496193,1033924
717811,546746,727435,548060,1445246,1094806
775903,606863,760812,584233,1536715,1191096
1723413,878093,1459912,742304,3183325,1620397
1012378,545749,881269,458020,1893647,1003769
961290,526510,862374,444911,1823664,971421
1153049,696749,1032130,619113,2185179,1315862
709711,511764,708961,503036,1418672,1014800
745038,570342,732300,538626,1477338,1108968
747281,602193,748299,587206,1495580,1189399
756963,622333,735288,589610,1492251,1211943
771756,592484,766025,582147,1537781,1174631
688398,562073,698945,562297,1387343,1124370
712329,588728,727960,594169,1440289,1182897
622416,451350,650308,458264,1272724,909614
706828,505010,707161,546436,1413989,1051446
700837,555005,703290,565311,1404127,1120316
875187,585270,847850,578288,1723037,1163558
689132,563818,712342,584254,1401474,1148072
709101,558689,709189,541310,1418290,1099999
682607,568534,675259,552393,1357866,1120927
701707,577999,719581,576382,1421288,1154381
652668,539357,672475,549594,1325143,1088951
706916,597603,720844,604093,1427760,1201696
675774,567908,693537,573157,1369311,1141065
781156,602198,783357,592877,1564513,1195075
773027,617483,798989,627443,1572016,1244926
748465,638080,766396,643978,1514861,1282058
686482,587223,706483,597411,1392965,1184634
736245,603025,734238,605200,1470483,1208225
783266,603562,793862,601394,1577128,1204956
738791,544802,743016,520930,1481807,1065732
775509,612890,761403,592164,1536912,1205054
734638,601932,711865,575325,1446503,1177257
765036,588805,785543,611857,1550579,1200662
796583,593468,809557,594180,1606140,1187648
778778,604834,795766,608230,1574544,1213064
735347,573019,752151,585298,1487498,1158317
723996,598259,728145,600656,1452141,1198915
219334,159978,227181,175687,446515,335665
160293,129313,152579,131978,312872,261291
615198,482484,550799,404436,1165997,886920
554540,428949,505635,370881,1060175,799830
358880,279409,343010,263871,701890,543280
798124,709191,754430,660433,1552554,1369624
776071,636657,729405,587212,1505476,1223869
755559,634405,674616,571458,1430175,1205863
988067,785494,934203,726235,1922270,1511729
791539,651272,724137,581965,1515676,1233237
654866,505643,604702,475045,1259568,980688
792424,639392,731457,590682,1523881,1230074
752785,605292,705080,561198,1457865,1166490
634236,483829,600212,447507,1234448,931336
579657,462412,544648,428556,1124305,890968
735263,572334,695731,539641,1430994,1111975
786297,484621,670279,415493,1456576,900114
769352,469114,643721,385686,1413073,854800
788561,442103,664402,380568,1452963,822671
794679,433416,695045,409478,1489724,842894
832370,449303,742544,451285,1574914,900588
877284,413878,750685,446575,1627969,860453
884884,452082,765869,489167,1650753,941249
796979,468183,728613,502345,1525592,970528
842884,492492,744464,483319,1587348,975811
762877,471209,676113,457281,1438990,928490
769044,495564,677434,482266,1446478,977830
833610,511512,749357,506220,1582967,1017732
899271,508914,826307,525885,1725578,1034799
797470,407047,697976,421295,1495446,828342
830943,490954,720420,457933,1551363,948887
854781,482598,732421,443339,1587202,925937
861019,446731,791748,456852,1652767,903583
841735,443867,722125,440154,1563860,884021
882264,420364,762260,426290,1644524,846654
833361,450964,705383,412290,1538744,863254
895047,478252,754500,426501,1649547,904753
768123,433926,660322,424994,1428445,858920
805601,430736,697404,432463,1503005,863199
949825,546041,828934,531814,1778759,1077855
793168,445965,698900,450266,1492068,896231
895185,522657,790154,451359,1685339,974016
825010,461098,724446,438255,1549456,899353
921436,506184,775110,408166,1696546,914350
1036575,503097,915392,418664,1951967,921761
1052278,511447,893971,370815,1946249,882262
934086,553915,801988,424734,1736074,978649
1010040,516366,822292,376847,1832332,893213
