State,Male Voters,Female Voters,Voter Difference
Andaman & Nicobar Islands,101178,89150,12028
Andhra Pradesh,519364,526475,-7111
Andhra Pradesh,520598,501586,19012
Andhra Pradesh,552489,573202,-20713
Andhra Pradesh,469712,564212,-94500
Andhra Pradesh,546746,548060,-1314
Andhra Pradesh,606863,584233,22630
Andhra Pradesh,878093,742304,135789
Andhra Pradesh,545749,458020,87729
Andhra Pradesh,526510,444911,81599
Andhra Pradesh,696749,619113,77636
Andhra Pradesh,511764,503036,8728
Andhra Pradesh,570342,538626,31716
Andhra Pradesh,602193,587206,14987
Andhra Pradesh,622333,589610,32723
Andhra Pradesh,592484,582147,10337
Andhra Pradesh,562073,562297,-224
Andhra Pradesh,588728,594169,-5441
Andhra Pradesh,451350,458264,-6914
Andhra Pradesh,505010,546436,-41426
Andhra Pradesh,555005,565311,-10306
Andhra Pradesh,585270,578288,6982
Andhra Pradesh,563818,584254,-20436
Andhra Pradesh,558689,541310,17379
Andhra Pradesh,568534,552393,16141
Andhra Pradesh,577999,576382,1617
Andhra Pradesh,539357,549594,-10237
Andhra Pradesh,597603,604093,-6490
Andhra Pradesh,567908,573157,-5249
Andhra Pradesh,602198,592877,9321
Andhra Pradesh,617483,627443,-9960
Andhra Pradesh,638080,643978,-5898
Andhra Pradesh,587223,597411,-10188
Andhra Pradesh,603025,605200,-2175
Andhra Pradesh,603562,601394,2168
Andhra Pradesh,544802,520930,23872
Andhra Pradesh,612890,592164,20726
Andhra Pradesh,601932,575325,26607
Andhra Pradesh,588805,611857,-23052
Andhra Pradesh,593468,594180,-712
Andhra Pradesh,604834,608230,-3396
Andhra Pradesh,573019,585298,-12279
Andhra Pradesh,598259,600656,-2397
Arunachal Pradesh,159978,175687,-15709
Arunachal Pradesh,129313,131978,-2665
Assam,482484,404436,78048
Assam,428949,370881,58068
Assam,279409,263871,15538
Assam,709191,660433,48758
Assam,636657,587212,49445
Assam,634405,571458,62947
Assam,785494,726235,59259
Assam,651272,581965,69307
Assam,505643,475045,30598
Assam,639392,590682,48710
Assam,605292,561198,44094
Assam,483829,447507,36322
Assam,462412,428556,33856
Assam,572334,539641,32693
Bihar,484621,415493,69128
Bihar,469114,385686,83428
Bihar,442103,380568,61535
Bihar,433416,409478,23938
Bihar,449303,451285,-1982
Bihar,413878,446575,-32697
Bihar,452082,489167,-37085
Bihar,468183,502345,-34162
Bihar,492492,483319,9173
Bihar,471209,457281,13928
Bihar,495564,482266,13298
Bihar,511512,506220,5292
Bihar,508914,525885,-16971
Bihar,407047,421295,-14248
Bihar,490954,457933,33021
Bihar,482598,443339,39259
Bihar,446731,456852,-10121
Bihar,443867,440154,3713
Bihar,420364,426290,-5926
Bihar,450964,412290,38674
Bihar,478252,426501,51751
Bihar,433926,424994,8932
Bihar,430736,432463,-1727
Bihar,546041,531814,14227
Bihar,445965,450266,-4301
Bihar,522657,451359,71298
Bihar,461098,438255,22843
Bihar,506184,408166,98018
Bihar,503097,418664,84433
Bihar,511447,370815,140632
Bihar,553915,424734,129181
Bihar,516366,376847,139519
Bihar,493930,394274,99656
Bihar,474117,372671,101446
Bihar,453576,336351,117225
Bihar,443737,367779,75958
Bihar,430800,355474,75326
Bihar,444510,364868,79642
Bihar,478217,406224,71993
Bihar,415743,359896,55847
Chandigarh,244956,208499,36457
Chattisgarh,610877,576444,34433
Chattisgarh,630570,615616,14954
Chattisgarh,558677,514670,44007
Chattisgarh,546046,506674,39372
Chattisgarh,573253,517204,56049
Chattisgarh,601874,576422,25452
Chattisgarh,660504,597838,62666
Chattisgarh,659070,591775,67295
Chattisgarh,576917,554292,22625
Chattisgarh,387112,382801,4311
Chattisgarh,515793,501150,14643
Dadra & Nagar Haveli,87800,77486,10314
Daman & Diu,42378,44855,-2477
Goa,200184,206447,-6263
Goa,195582,214787,-19205
Gujarat,520905,425335,95570
Gujarat,513893,372741,141152
Gujarat,529513,426286,103227
Gujarat,544710,459548,85162
Gujarat,587807,506195,81612
Gujarat,620889,514606,106283
Gujarat,560074,425451,134623
Gujarat,534008,430601,103407
Gujarat,542339,402338,140001
Gujarat,593333,463736,129597
Gujarat,471495,337938,133557
Gujarat,486177,366466,119711
Gujarat,516158,425220,90938
Gujarat,457547,351269,106278
Gujarat,519525,397877,121648
Gujarat,541176,429718,111458
Gujarat,542955,412951,130004
Gujarat,516017,417444,98573
Gujarat,469459,430922,38537
Gujarat,625045,536532,88513
Gujarat,593192,507350,85842
Gujarat,564668,495543,69125
Gujarat,637345,568834,68511
Gujarat,539368,408554,130814
Gujarat,649206,511541,137665
Gujarat,582311,539892,42419
Haryana,667400,551595,115805
Haryana,618607,517285,101322
Haryana,692891,586214,106677
